S.1,S.2,S.3,S.4,S.5,S.6,S.7,S.8,S.9,S.10,S.11,S.12,S.13,S.14,S.15,S.16,S.17,S.18,S.19,S.20,S.21,S.22,S.23,S.24,S.25,W,Y,Z,weights
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,1
0.009249585,-0.418437299,-0.781230374,-1.087030214,-1.494002333,-0.580165174,-0.635853633,-0.867709666,-1.097066191,-1.130185438,-0.767074409,-0.851882883,-0.252936903,-0.274595207,-0.272072446,0.518260284,-0.601591762,0.249890996,0.670417223,-0.259518372,-0.274425688,-0.438968371,0.046514835,1.121872305,-0.896626936,3,0,1,1
1.168744129,2.896841547,1.604701342,1.132548489,1.813382025,2.023172543,2.108946186,0.959375389,0.985766724,1.291989545,2.364325317,2.640066454,-0.293615784,-0.014389596,-0.150599564,-0.574366366,-0.909523949,-0.186059976,0.240413732,0.038659779,0.13466986,-0.161374775,0.669867539,-0.295293563,0.21428099,1,0,0,1
2.358575721,1.255472187,1.710783949,1.782847636,2.54930267,1.48791845,1.405927676,2.458066948,1.312792171,1.524525336,1.452075564,1.99351003,-0.085740493,-0.056766784,0.221335803,-0.614225399,-0.410097459,0.221379241,0.39032285,0.133561346,-0.003650392,0.713982021,-0.87868219,0.223002803,0.731473606,1,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1
2.035685055,3.400373049,1.21290001,1.499004703,1.845438651,2.148041547,2.660858557,1.739053663,2.317755373,1.245074166,1.781184505,2.554852663,0.153478116,0.077745615,0.900365687,-1.048745317,0.057117256,-0.059725288,0.685039699,-0.173289688,-0.046192983,-0.221033075,0.288731977,0.55634555,0.255730289,3,0,1,1
1.810147184,2.298642696,1.693625989,1.243405813,1.685803117,2.778043272,2.071373342,2.014282083,1.600018742,2.240973559,2.347008629,2.134976506,1.018266235,0.353428244,0.426375937,-0.949444292,0.16225474,0.21035863,-0.409251514,0.825829914,-0.223900042,-0.12520607,0.264418878,-1.05525089,0.077141928,2,0,1,1
2.847723796,1.79312172,1.475981063,2.311021855,1.694405638,1.96957199,2.703216034,1.858307419,1.172656342,2.243444595,1.400455462,1.642589347,-0.642336565,-1.477652724,0.406435531,0.147972951,0.824408734,-0.629482336,0.034986426,0.590367465,-0.828180349,-0.276846645,0.568523925,-0.379783978,-0.505248422,2,0,1,1
2.168780812,1.950469717,2.239947154,0.805848626,1.808432411,1.806279874,1.704687229,1.24633051,1.327655219,2.376180624,1.570189037,1.663309294,0.645073031,-0.105437605,0.145083342,-0.679017954,-0.346813542,-0.490926628,0.153682092,0.400455393,-0.420012545,0.3947278,-0.153763545,-0.36536814,-0.076019699,1,0,1,1
2.233992584,2.102490852,1.863277754,3.075763059,1.14746686,1.19996585,1.474104642,1.849302648,1.017412899,1.763287718,1.211231514,2.244825484,0.515663213,0.856064017,-0.056928272,0.522243834,-0.106078182,0.17213069,0.49825402,-0.006600605,0.463331792,-0.212332333,0.453135045,-0.357363171,-0.501432212,1,0,1,1
0.006187755,-0.605430794,-1.33148018,-1.268748168,-0.932703798,-1.074200313,-1.674674131,-0.318637007,-1.630733375,-1.176396521,-0.14949851,-2.040690732,0.065575279,0.018876997,-0.362822724,-0.781747966,0.887110594,-0.203456809,0.106651926,-0.41831108,0.005316171,0.827476431,0.27035013,0.525318288,-0.57051506,3,1,1,1
2.071968126,2.438078559,2.055947188,1.375666972,1.731204781,1.343671443,1.351663222,1.871854698,1.165663543,1.579180043,1.322658676,2.317468559,-0.203413926,-0.53864124,-0.288349979,0.833369928,-0.901373442,0.807121066,0.286756815,0.073072675,-0.643937617,-0.676399292,-0.15843732,0.297903599,0.973620815,3,0,0,1
2.367271005,2.170447839,2.272003193,1.320580531,0.950456956,1.982401156,1.096536222,1.132177222,1.220047342,2.628582229,0.388241928,1.178064666,0.153209447,0.714549921,0.291147636,0.164347184,0.492893475,0.070284585,-0.254536308,-0.661617626,-0.051533647,-0.089835279,-0.197321538,-0.344288311,0.499559481,1,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,1
2.617586619,1.522247691,1.656404662,2.373221713,1.469810498,2.222955645,1.707202361,1.477143942,2.317041272,2.627557339,1.273709444,1.496569584,0.539379296,0.285646377,0.533744806,0.337197038,-0.405740525,-0.217033,-0.284200914,-0.169507797,0.496733474,0.334907094,0.228650579,0.406814717,0.573503379,3,0,1,1
2.054690462,2.643774812,1.870108123,2.013247467,1.528412379,1.381177195,1.823337339,2.218373097,1.469568843,1.470521458,1.300356835,2.422778309,-0.269729885,0.312978749,0.708380127,0.151587036,-0.419041311,-0.181396437,-0.376625435,-0.022809119,0.884328505,0.466360452,-0.656921791,-0.518986551,0.185176245,3,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,1
1.726407229,2.8743958,2.221877083,1.162508896,1.205306704,1.634512791,1.839231591,2.017357416,1.358973907,2.090003859,1.744848843,0.500134697,0.012976785,-0.405087204,0.210792302,-0.927491117,0.730806751,0.107946876,-0.112265546,-0.171454339,0.100577801,0.320391913,-0.36129973,0.494873955,-0.419877569,3,0,0,1
2.658537689,2.455378525,2.507320031,1.713856924,1.863195436,2.218567747,1.838922615,1.39804757,1.464085298,2.518047929,2.300582656,2.337938605,-0.242348755,-0.391595812,0.319208542,0.158911958,0.096297622,0.157197087,0.145700545,0.258072973,0.782165321,-0.135687725,0.139568369,0.481157449,0.746491562,3,0,0,1
2.951474439,2.948996586,1.519183916,1.205154989,1.799378142,1.562377296,1.281467234,1.768732833,1.223067322,2.082136052,1.719298422,1.246943271,0.664176433,-0.717604304,0.664945805,1.043209462,0.456309634,0.161724604,0.343920361,-0.105934646,-0.92244659,-0.408645712,-0.664742514,0.663837739,-0.198366096,3,0,0,1
2.288704458,2.920548008,2.878253167,1.203933146,1.470730303,2.84202247,2.464463154,2.026571721,1.881985547,1.415176688,1.349917962,1.538866478,0.893045051,0.025049622,0.750552709,-0.46366802,-0.637814234,0.172179957,0.406792314,0.281526896,-0.932571103,-1.036809504,-0.64932127,-0.600285216,-0.711775121,1,0,1,1
2.742085805,1.392478236,2.351102212,1.917006585,1.399553846,1.7012572,1.411027725,2.060152332,1.855387758,2.440176756,1.653154294,2.343853087,-0.306299002,0.579548112,-0.764327643,-0.257683159,-0.121997375,0.316034958,0.048143482,-0.202727746,-0.529970175,-0.582007269,-0.185249246,0.434701407,0.668278557,1,0,1,1
2.056812878,2.933763755,1.741723081,1.501914166,1.706847433,1.948209756,1.385681316,2.132534724,1.926455994,2.194221843,2.363111549,1.748906495,1.0479528,-0.763687584,-0.500410364,-0.666681016,-0.716903155,0.422459364,-1.228660429,-0.542644476,0.429861768,-0.518363751,0.212216819,-0.191071266,0.148519632,3,0,1,1
1.855464137,1.77797367,1.107392563,1.204674804,1.779911451,1.263942255,1.954883629,1.059736968,1.491863885,1.630325456,2.132945463,2.091247417,-0.123923925,0.320815552,1.06567858,0.167388442,-0.243173534,-0.417792622,-0.576054865,0.362757434,-0.326393961,0.216445099,-0.552986769,0.120348598,0.200454779,2,0,0,1
2.369202213,1.962367451,1.441021167,2.143715951,1.317389831,1.473987571,2.078606637,1.847889551,2.236876354,1.658193535,1.67126492,2.231219524,0.283411512,0.624152877,0.341365165,0.211018842,0.688064323,-0.496710054,-0.100198486,-0.515721333,-0.007601364,0.058846232,-0.45184839,0.586840362,0.165070726,1,0,0,1
2.403377093,2.527062669,1.745690036,1.483463187,1.555003808,1.790624652,1.8321386,1.558200945,1.221116899,1.825081652,2.01479254,1.320179935,0.193681213,-0.674365149,-0.15463646,-0.119682184,0.304189771,0.9853421,-1.343253845,0.259430937,0.089260268,-0.085809469,-0.152527709,0.105936939,-0.870980632,2,0,0,1
1.384237112,3.635406433,0.479513214,1.403551359,1.758436241,2.384311553,0.93768739,1.000313251,1.901398313,0.821639195,2.003697922,1.288722309,0.35508403,-0.344688998,0.365593122,1.100469612,0.105351771,-0.262874442,-1.396071501,-0.589065386,0.725129052,-0.455680856,-0.339741211,0.218353826,-1.123835812,3,0,1,1
2.160424028,1.035105507,2.089041983,1.741417075,1.329586151,2.147177994,1.696196918,1.525796255,1.154943919,1.460341809,1.520304778,2.241894008,-0.048270536,0.054080221,-0.024980144,-0.024208831,0.308466358,-0.223425311,0.247493479,-0.56919628,0.06287016,-0.025634895,0.337976777,0.803974832,-0.778843405,1,0,0,1
1.451792478,2.41562245,1.867752635,1.215911338,2.205609456,2.477734411,1.181541008,1.802105558,2.1082455,1.863695193,1.530081738,2.204048476,-0.04693182,0.212210503,0.353955041,0.169128299,-0.52612881,0.277262502,-0.449075048,-0.447258797,0.326772382,0.53858972,0.148727512,-0.872097272,0.586129972,1,0,0,1
-0.947163027,-0.209226493,-1.50313029,-0.697048199,-0.464889435,-1.599349956,-0.876338864,-1.029733909,-0.280253211,-0.557259037,-0.421444357,-0.772511517,-0.675040231,-0.766789573,0.07377343,-0.258181905,0.045050633,0.043411451,-0.021746333,0.613680415,-0.115228999,-0.215871034,0.431094582,0.813228709,-1.246428423,2,0,1,1
2.392838306,2.340700183,1.744584296,1.284806109,1.526202539,2.367810742,2.231385629,2.167274574,2.367826628,2.20712809,1.275470159,1.935963969,-0.64919329,-0.506948038,0.132893554,-0.262601234,0.423154448,0.070367064,0.564398655,0.36289137,-0.590366976,-0.267153312,0.977920386,-0.225680294,-0.285622956,2,0,1,1
1.722738499,2.073614608,1.916810836,1.78627802,1.437563273,1.291405524,1.157599963,1.896830114,1.380053763,1.931773656,1.902085401,2.039720871,0.612929009,0.030635741,-0.208437666,-0.445593395,-0.085797898,0.023997325,0.319571106,-0.339565922,0.569627219,-0.001395177,-0.646474153,-0.904033313,-0.540339833,1,0,0,1
2.800593318,2.256335011,1.130151633,1.760226506,2.066881242,2.042788002,2.446822294,1.852770585,1.419452031,2.429042751,1.73633944,1.773331512,0.238483457,-0.288288341,-0.225109244,0.336486493,0.284892928,-0.020167677,0.504691683,-0.912650082,-0.059186623,-0.350669531,-0.477848185,-0.195821873,-0.262724609,2,0,1,1
2.855486145,2.648262118,1.32144991,2.35667748,1.445090114,1.955261135,1.71767743,1.172426802,1.415653376,0.963849026,1.534032712,2.174659851,0.258858868,-0.277718779,-0.323847893,-0.46604873,-0.372085914,-0.751003179,0.18474464,-0.056560495,0.160737597,-0.886762357,0.778532732,0.11336063,0.919325766,3,0,1,1
2.222813758,1.959984436,1.180553124,0.785917454,0.716224637,1.485961752,1.464051305,2.161112246,2.383066743,1.166020611,0.973480441,1.945852369,0.010530965,-0.340867549,1.02655296,-0.169041161,0.301725636,-0.069656714,-1.42355168,-0.012821467,-0.663268139,0.176191173,0.243146868,0.282409504,-0.258393377,2,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,1
2.998170152,2.673008908,1.875785901,2.100124677,2.511869487,1.529797321,1.375485508,1.117552852,1.306708699,1.458062925,1.630786336,1.730096078,-0.818962947,0.368375377,0.410089063,-0.226372596,-0.324970686,0.18386909,0.705191828,0.545870707,0.59936763,0.56488813,-0.002670202,0.043781969,-0.150145909,3,0,0,1
2.040471795,1.982117507,1.908866592,1.670941236,1.540682168,2.355664831,1.844718917,1.224799017,1.145192911,1.487763996,1.33687313,0.570501845,0.451430285,-0.289524484,-0.160792557,0.025162698,0.662146489,-0.491307623,0.305517126,0.250636553,-0.268853412,0.046034571,-0.119913508,-0.145025299,-0.623255232,3,0,1,1
0.907981124,2.457926445,1.926467138,2.124271154,2.227340728,2.031054826,1.271175714,2.432521311,2.296390248,1.986385539,1.957262488,0.908816934,-0.039209529,-0.373301901,-0.38893453,-0.691348246,0.152269004,-0.00949192,-0.284006628,-0.323025129,0.424452568,0.640353122,0.568347821,-0.166002477,-0.332977771,1,0,1,1
1.818174673,2.75774339,1.695065557,1.678992953,1.600757368,1.12472463,2.284762273,2.233847393,1.679572681,1.186437573,2.027116313,1.556814283,-0.146233129,0.309356835,0.286369567,0.648079425,0.049615024,-0.250108241,-0.024205963,0.633127674,-0.86637192,-0.323079129,0.138983475,-0.785865286,-0.457615741,1,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,1
2.578228653,1.997280488,2.843480877,2.042958157,2.115225051,1.909424035,1.90528094,1.349049978,1.429071649,2.136116614,1.54247492,1.307528446,-1.027260316,0.293658184,0.144556471,0.127076741,-0.027612183,0.859293527,0.105483022,-0.059774366,1.013699245,0.193077103,0.158977211,-0.379739967,-0.316979155,2,0,1,1
1.950639396,2.689956255,2.661225756,1.83987809,1.638874217,1.730536774,1.365121944,1.765487678,0.773108361,1.520105348,0.854120809,2.314832951,-0.135628631,0.133572256,-0.183440899,-0.329162382,0.56693077,0.123141044,0.203401578,0.01852094,0.389353096,0.117873012,0.622331093,0.036227701,-0.69261921,2,0,1,1
1.795836017,1.352073478,1.15218087,2.680103346,2.11433193,2.362443029,2.260712193,1.62960877,1.387417561,2.018454014,1.946084059,1.512754951,0.494242247,0.33133656,0.611619933,-0.053938856,0.061250068,1.001761611,-0.1719132,0.564295152,0.172159233,0.020808906,0.248414284,0.0851801,-0.198285695,1,0,0,1
2.29764263,2.655067258,2.202393461,1.895742209,1.957551684,1.775980052,1.433380019,1.083879952,1.042334682,0.748812643,1.971842545,1.604841479,1.039273239,0.602045999,-0.552886054,0.576879497,-0.585073346,0.2105387,0.069803456,0.060994196,-0.557494969,0.000310045,-0.145984746,-0.240734417,-0.728488004,1,0,0,1
2.042970278,1.373822464,1.366575166,1.7068559,1.833122818,1.735648312,2.201233682,1.56370938,1.961363028,1.783018702,1.461107186,2.147897061,0.0165725,0.823427419,-0.070467517,-0.465190004,0.693738471,0.262751399,-0.164744256,-1.155572144,0.683961627,0.060054468,-0.285650967,-0.070442382,-0.142684348,1,0,0,1
2.783255255,3.032864045,1.118575748,2.053374832,1.578458927,1.739240246,1.372282296,1.533944904,1.902688644,0.877885843,1.504424834,1.358242401,-0.437868496,0.504792751,0.191100296,0.305199103,0.361650206,0.052526191,0.698080473,0.734137698,-0.048655719,0.604338214,-1.114309341,0.43062736,0.031268993,3,0,0,1
2.242348271,2.507450397,2.143922944,1.285259885,2.127600978,0.543443409,1.994462813,1.599243303,1.746201588,1.308470119,2.203721151,1.588146826,-0.090818681,-0.233432669,0.677765792,0.745159491,-0.551478241,-0.063081644,-0.262671917,-0.346430005,0.405532,0.457146239,0.979350774,-0.392519471,1.319640675,3,0,0,1
2.75048348,2.357148113,1.598115941,1.311250118,2.474050171,1.891300521,1.958939207,1.939710469,2.487801,1.982995663,2.035247757,1.933715549,0.019520785,0.038767452,0.154935944,0.45449437,-0.19516908,0.289219477,0.017873898,-0.021165332,-0.347201302,0.061424311,-0.811070996,-0.83630059,-0.662151428,2,0,0,1
2.961669118,2.065964994,1.906913593,1.630363598,1.072327188,2.540117325,1.153532983,1.680097988,0.880670147,2.472957403,1.29552418,1.815275005,0.618275371,-0.371699055,-0.143996321,0.411852384,0.883597078,-0.489670484,-0.016551631,-0.492287376,0.950864856,0.439940884,0.1766315,-0.454632134,-0.340869214,2,0,1,1
1.341194903,1.388746404,2.096930706,1.945950717,2.012366136,2.121297248,2.302939934,1.670195943,1.73133401,1.57769793,1.681763377,2.05512136,-1.225807264,-0.518395397,-0.28135313,0.745426762,0.098559783,-0.267195639,-0.484943788,0.032946575,1.158956074,0.854348854,0.168817979,0.723625673,-0.156285056,1,0,0,1
3.39661,2.455870721,1.74232002,2.706363548,1.985422495,1.057618113,2.716981497,2.934881616,1.599985215,1.372000451,1.759936353,2.363679102,0.300770118,1.052675328,-0.344641334,0.077868514,-0.252607769,0.690917958,0.475425761,-0.091340995,0.585517371,-0.214508638,1.119019115,0.314982893,0.305042874,3,0,1,1
2.794046892,2.809310323,1.699732058,0.975901414,1.826521372,2.178569288,1.391620605,1.533958803,2.51925277,1.096262522,1.642462642,1.810024558,-0.54155694,0.427401478,0.166288634,0.522328549,1.02736017,0.140789505,0.577092298,0.732297081,0.484201946,0.499015308,0.491159823,0.342170722,0.135007337,3,0,1,1
1.983820619,3.023496691,2.091378641,2.285324768,1.788685877,2.808772927,2.124475253,1.508749923,1.221350711,2.020299427,1.757987555,0.411920224,-0.307712444,0.029888069,1.29232847,0.459142301,-0.234238344,0.221307169,-0.947322061,0.688588079,-0.186879318,-0.69402248,0.062471977,0.73481307,0.977237963,2,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1
0.039667855,-0.524351668,-1.347597753,-1.570776717,-0.215111677,-1.162623627,-0.265261724,-1.856367709,-1.104512872,-1.326214961,-0.655707653,-0.884317808,0.11648808,0.273149029,0.368521203,0.507467302,-0.761073325,0.377637974,-0.21505141,1.083348554,-0.810626621,0.021035907,-0.235180613,-0.483465576,-0.107323202,3,0,1,1
1.825769098,2.414961839,1.854175871,1.395129019,1.349779289,1.480001827,2.181716167,1.378535656,2.205618159,1.376876234,1.517741989,1.437032992,-0.124303884,0.259478581,0.36413792,-0.03869058,1.000661809,0.212244044,0.240757469,0.737241771,0.990236861,0.035368352,0.162789619,1.027865626,-0.110167917,2,0,1,1
2.720505503,2.556878185,1.308885883,1.148911572,2.531779571,1.2081408,1.713665778,2.277853288,2.221983369,1.809111409,1.416312486,1.435414903,0.098271045,0.956031848,0.647804103,0.159032279,0.611227969,0.086894889,0.233739753,-0.34854782,-0.419605813,-0.275007809,-0.009249462,-0.496515034,0.080456996,3,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1
2.287554927,2.45155187,2.283987236,1.56218375,2.189733529,1.253696839,1.590834486,1.002938133,1.654921287,1.380924828,1.126564792,2.512399589,1.040062575,0.521989119,-0.540984355,0.234784493,0.030071332,0.2181683,1.117045547,-0.263438493,-1.150377349,0.864143029,0.235941052,0.018463454,0.081992587,3,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0,1
0.130226239,-0.554561502,-1.596054657,-1.166936476,-1.220009462,-1.580991339,-1.57191094,-0.769063402,-1.269242018,-1.312070097,-0.872535365,-1.098539514,-1.049303655,0.251377274,0.26539295,0.403129188,0.197054673,-0.183032464,0.126848395,-0.054320718,0.193715815,0.56935062,-1.039748808,-0.125818017,-0.241109098,2,1,1,1
1.577717247,2.676583996,1.553441414,1.357041694,1.530349252,0.954793962,1.388599251,1.786474895,2.146336052,1.304987179,1.686412817,2.018822994,0.778672202,-0.794175904,-0.076860988,0.357303188,0.772812549,-0.118685473,0.587587562,0.225593475,-0.588601286,0.226278568,-0.105475676,0.996995201,-0.685215442,3,0,0,1
1.801862769,2.557281682,1.623114416,1.541160201,0.776952522,1.422483389,0.908588438,1.119816875,1.06132309,1.546290951,0.741985925,1.091424029,-0.140973123,0.256481746,-0.565982008,0.434518616,-0.353242861,-0.086137973,0.134356035,0.515811992,0.151310357,0.249141988,0.335025914,0.710054395,0.056116331,3,0,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,1
2.099989287,1.619261162,2.67977066,1.779803693,1.690387272,1.916967926,1.134663369,1.736723124,1.552742381,1.359677067,1.248573611,1.767396454,-0.310410166,0.939668011,0.05370458,0.901723258,-0.427402506,-0.408397143,0.765199752,-0.116405659,0.319330161,0.09860981,0.404264679,0.185269509,-0.554046935,2,0,1,1
2.097707804,2.180159681,2.060689019,2.187575226,2.627900276,1.615880306,0.917765016,1.231531014,2.036100854,2.513942225,2.835876476,1.537168551,0.471585199,-0.372254507,-0.147667145,-0.746172893,0.069646101,-0.575550912,-0.560081675,-0.399546036,-0.450378746,0.163892624,-0.610951955,0.150890227,0.17478108,1,0,1,1
1.751816678,2.275543513,1.595750523,0.742478337,2.128494787,2.130558388,1.40713682,2.113677669,1.950444919,1.342675311,1.981200467,1.712202623,0.345813512,-0.417930421,0.023749997,-0.023602135,-0.942827578,1.004649931,0.19014654,0.290005121,0.438597174,-0.081839266,0.0541544,-1.597149296,-0.232907481,2,0,0,1
2.525296331,2.980405279,2.285350255,1.454326238,1.935231857,1.607233414,2.129634599,1.788588232,1.74330408,2.743521586,2.056699785,2.202062991,0.413887547,0.492711184,-0.107403648,-0.183624741,0.005445326,-0.723364998,-0.080927041,0.209514562,-0.051152621,0.764782041,-0.334328021,-0.870177105,-0.670581105,3,0,1,1
2.176683131,2.345213409,1.397108013,2.027877989,2.576479763,1.176776634,1.156829498,0.704613856,1.997909286,2.324558165,2.139990681,1.787883132,0.492487123,-0.506311035,-0.683223812,-0.225350348,-0.30866261,-0.173345046,0.031160363,0.049037936,0.015179511,-0.204262178,0.491607155,-0.259719959,0.354971957,2,0,0,1
2.352094555,1.830220741,2.147649857,1.709889794,1.722271865,1.545727145,1.300104084,1.55845515,2.198478237,1.669143319,2.482198136,1.585741463,0.271265171,-0.240915543,0.257956011,0.422941967,-0.274949126,-0.297117198,0.582718205,0.071040246,0.105755363,0.465178983,-0.430414091,-0.340814376,-0.975036561,2,0,1,1
2.740309986,1.744385624,1.857624146,1.317349136,2.373531424,1.823887469,2.14194858,1.45822389,1.25949502,1.141197083,1.083991529,1.600982584,0.576974109,-0.367840215,0.149604895,0.022635117,0.436380404,0.100069612,1.104184858,0.181950394,-0.170183295,0.584199448,-0.390725014,-0.28757799,0.025222365,2,0,0,1
2.69323937,2.89370885,2.039264154,1.163720659,2.408537761,2.201100097,1.649230693,2.289104624,1.375840751,1.72448594,2.481093349,1.768238155,-0.965855889,-0.097413032,-0.10221035,0.762007571,-0.01386745,-0.228132164,0.278963022,0.156602619,0.740240065,0.107264213,-0.386725248,0.522512308,0.386562852,3,0,1,1
1.906842021,1.833322544,3.536160401,1.944793879,1.445524328,1.495043031,0.239420783,2.003921769,2.360155267,1.513827801,2.374134017,0.943388646,0.472105306,-0.429692804,0.029627588,-0.153682505,-0.334095678,0.997988843,0.010042591,-0.316687419,0.118668546,0.388490739,0.440000831,-0.055827042,-0.093603514,1,0,1,1
1.659499287,2.316848378,1.619721342,2.424585472,2.563858303,2.75678709,1.836582126,1.710124423,2.57657644,1.631640177,1.400877068,2.986695259,-0.571730842,-0.249009472,-0.31105623,-0.016928679,0.527372664,0.38220239,-0.496473501,0.221180376,0.121628079,0.452756291,0.762167263,-0.431907068,0.288026639,1,0,1,1
1.855955009,1.350692517,1.545576786,2.738868096,2.468260124,2.370805265,2.102219502,1.526457238,1.659051359,1.573453619,2.052382124,1.002792134,-0.216420799,-0.036149338,-0.158511632,-0.405158904,-0.027142842,-0.38511307,-0.316580096,-0.030095319,-0.460415372,0.839535178,0.0342423,0.149484301,0.428467714,1,0,1,1
2.232223792,3.313234913,1.9936378,1.90416416,0.784040964,2.336282241,1.92968991,0.122357866,1.183431728,1.84845042,2.529105609,1.665353213,-0.453378788,0.204663508,0.243737311,-0.222041175,-0.845787194,0.885192901,-0.349269164,0.314101064,-0.191489465,-0.408900849,0.276412768,0.540779443,0.042878397,2,0,0,1
